,ID,+,*title,*subtype,*faction-tierren?,*faction-eniak?,option1,option2,,,,,,,,,,,,,
,joint-training-exercises,treaty,Joint Training Exercises,Cooperation,y,n,"Each player may activate one of their opponents spacecraft, paying all costs, once each round. They may not attack or bombard during that activation.","Each player may activate one of their opponents colonies, paying all costs, once each round. All effects are treated as if they happened on a colony of that players choice.",,,,,,,,,,,,,
,open-border-policy,treaty,Open Border Policy,Armistice,y,n,When either player activates a colony the other player also receives the effects of that activation as if they happened on a colony of their choice.,Neither player may activate a spacecraft for bombardment.,,,,,,,,,,,,,
,border-control-division,treaty,Border Control Division,Customs,y,n,Spacecraft may only move between adjacent colonies.,If a spacecraft moves to a different colony it may not be activated again that round.,,,,,,,,,,,,,
,general-massive-exports,treaty,General Massive Exports,Cooperation,y,n,All spacecraft cost one fewer construction to construct.,All megastructures cost one fewer construction to construct.,,,,,,,,,,,,,
,disarmament-commission,treaty,Disarmament Commission,Armistice,y,n,You and your opponent can only move one ship each round.,You and your opponent can only activate one colony per round.,,,,,,,,,,,,,
,peace-sanctions,treaty,Peace Sanctions,Sanctions,y,n,When either player attacks using a spacecraft they lose all remaining command.,"After the first time the proposing player's opponent attacks each round, the proposing player may activate a spacecraft to attack without spending command.",,,,,,,,,,,,,
,reflog-protocols,treaty,Reflog Protocols,Cooperation,n,y,"When a spacecraft is destroyed, both players draw a card.","When a spacecraft is destroyed, it is returned to its owner's hand instead of becoming debris.",,,,,,,,,,,,,
,graviton-test-treaty,treaty,Graviton Test Treaty,Customs,n,y,Spacecraft cannot move to the colony hosting this treaty or the colonies gravitationally linked to it.,Spacecraft may only move to the colony hosting this treaty or the colonies gravitationally linked to it.,,,,,,,,,,,,,
,multiversal-negotiations,treaty,Multiversal Negotiations,Cooperation,n,y,Cards are drawn from the bottom of the deck.,Cards are drawn from the opponent's deck.,,,,,,,,,,,,,
,optimized-logistics-sharing,treaty,Optimized Logistics Sharing,Cooperation,n,y,The first spacecraft activated by each player each round ignores all costs.,The first colony activated by each player each round ignores all costs.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,ID,+,*title,*subtype,x1,x2,*abilities,x3,construction?,research?,influence?,*gravity-4?,*gravity-3?,*gravity-2?,*gravity-1?,*health-4?,*health-3?,*health-2?,*health-1?,,
,magonia,colony,Magonia,Planet,,,Activate: Do 1 damage to all spacecraft in orbit.,,y,y,y,y,y,y,y,,y,y,y,,
,tryche,colony,Tryche,Planet,,,Tryche can host 1 more megastructure.,,y,n,y,,,y,y,y,y,y,y,,
,juniffer,colony,Juniffer,Planet,,,Add 1 to Juniffer’s influence capacity.,,n,y,y,,,y,y,,,y,y,,
,paloma,colony,Paloma,Planet,,,Neither Paloma or spacecraft in its orbit can be the triggers or targets of espionage cards.,,y,n,n,y,y,y,y,,y,y,y,,
,lagrange-construction-yard,colony,Lagrange Construction Yard,Station,,,Ships constructed at Lagrange Construction Yard cost one less construction.,,y,y,y,,,,y,,,y,y,,
